,id,channel_sales,cons_12m,cons_gas_12m,cons_last_month,date_activ,date_end,date_modif_prod,date_renewal,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max,mean_year_price_off_peak_var,mean_year_price_peak_var,mean_year_price_mid_peak_var,mean_year_price_off_peak_fix,mean_year_price_peak_fix,mean_year_price_mid_peak_fix,mean_year_price_off_peak,mean_year_price_peak,mean_year_price_mid_peak,mean_6m_price_off_peak_var,mean_6m_price_peak_var,mean_6m_price_mid_peak_var,mean_6m_price_off_peak_fix,mean_6m_price_peak_fix,mean_6m_price_mid_peak_fix,mean_6m_price_off_peak,mean_6m_price_peak,mean_6m_price_mid_peak,mean_3m_price_off_peak_var,mean_3m_price_peak_var,mean_3m_price_mid_peak_var,mean_3m_price_off_peak_fix,mean_3m_price_peak_fix,mean_3m_price_mid_peak_fix,mean_3m_price_off_peak,mean_3m_price_peak,mean_3m_price_mid_peak,churn
0,764c75f661154dac3a6c254cd082ea7d,foosdfpfkusacimwkcsosbicdxkicaua,544,0,0,2010-04-16,2016-04-16,2010-04-16,2015-04-17,47.96,0,0.0,38.72,0.165794,0.087899,44.31137796,f,0.0,28.6,28.6,1,6.6,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856,0.17051166666666664,0.08842125,0.0,44.38545035999999,0.0,0.0,44.55596202666666,0.08842125,0.0,0.16856933333333335,0.0885345,0.0,44.44470995999999,0.0,0.0,44.61327929333332,0.0885345,0.0,0.167798,0.088409,0.0,44.44470996,0.0,0.0,44.612507959999995,0.088409,0.0,0
1,01495c955be7ec5e7f3203406785aae0,foosdfpfkusacimwkcsosbicdxkicaua,29552,0,1260,2010-04-21,2016-04-21,2010-04-21,2015-04-22,864.73,751,0.0,144.49,0.115174,0.098837,40.606701,f,70.63,53.92,53.92,1,100.09,6,lxidpiddsbxsbosboudacockeimpuepw,26.4,0.12281558333333333,0.10250124999999997,0.07353616666666667,40.6745798,24.404746919999997,16.26983288,40.79739538333333,24.507248169999997,16.343369046666666,0.11953516666666668,0.10118583333333331,0.074525,40.728885,24.437330039999996,16.29155496,40.84842016666666,24.538515873333328,16.36607996,0.118175,0.100491,0.074516,40.728885,24.43733004,16.29155496,40.84706,24.53782104,16.36607096,0
2,f53a254b1115634330c12c7fdbf7958a,usilxuppasemubllopkaafesmlibmsdf,2962,0,0,2011-09-23,2016-09-23,2011-09-23,2015-09-25,444.38,0,0.0,15.85,0.1457109999999999,0.0,44.31137796,f,0.0,12.82,12.82,1,42.59,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2,0.14968158333333334,0.0,0.0,44.31137536,0.0,0.0,44.46105694333333,0.0,0.0,0.14799616666666668,0.0,0.0,44.35581996,0.0,0.0,44.50381612666666,0.0,0.0,0.1476,0.0,0.0,44.44470996,0.0,0.0,44.592309959999994,0.0,0.0,0
3,d5e512dbc8118a830a7b8c7f61d89992,usilxuppasemubllopkaafesmlibmsdf,10831,0,3112,2011-07-11,2016-07-11,2011-07-11,2015-07-12,1204.58,3112,0.0,20.94,0.1646369999999999,0.087381,44.31137796,f,349.48,14.52,14.52,1,108.5,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,11.5,0.16754041666666666,0.08574508333333332,0.0,44.34100546,0.0,0.0,44.508545876666666,0.08574508333333332,0.0,0.16689583333333335,0.08727716666666667,0.0,44.41507995999999,0.0,0.0,44.58197579333333,0.08727716666666667,0.0,0.166638,0.08789,0.0,44.44470996,0.0,0.0,44.611347959999996,0.08789,0.0,0
4,6ee77a019251bcc304c88167e0dfcb4c,foosdfpfkusacimwkcsosbicdxkicaua,4442,0,2489,2009-11-26,2016-11-26,2009-11-26,2015-11-27,561.96,2489,0.0,20.5,0.1670859999999999,0.088444,46.30537836,f,308.41,21.09,21.09,1,18.41,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392,0.16926066666666664,0.08768666666666668,0.0,44.537302159999996,0.0,0.0,44.70656282666666,0.08768666666666668,0.0,0.16781866666666667,0.08765816666666666,0.0,44.77804336,0.0,0.0,44.94586202666667,0.08765816666666666,0.0,0.16786600000000002,0.088102,0.0,45.44471016,0.0,0.0,45.612576159999996,0.088102,0.0,0
5,21860c2ff2d5df75503b230ce629c253,foosdfpfkusacimwkcsosbicdxkicaua,7726,0,0,2013-01-22,2017-01-22,2015-11-18,2016-01-24,914.1,0,0.0,74.66,0.162327,0.084428,44.31137796,f,0.0,33.12,33.12,1,89.02,3,ldkssxwpmemidmecebumciepifcamkci,13.2,0.16917733333333332,0.08763966666666662,0.0,44.31137526,0.0,0.0,44.48055259333333,0.08763966666666662,0.0,0.16648833333333332,0.08661999999999999,0.0,44.35581996,0.0,0.0,44.52230829333333,0.08661999999999999,0.0,0.164316,0.084927,0.0,44.44470996,0.0,0.0,44.60902596,0.084927,0.0,0
6,e4773b60d2e68aac94795782abfc006b,lmkebamcaaclubfxadlmueccxoimlema,47019,0,3161,2012-04-20,2016-04-20,2012-04-20,2015-04-21,1687.29,1080,0.0,16.08,0.144902,0.0,44.31137796,f,158.53,19.28,19.28,1,130.14,4,ldkssxwpmemidmecebumciepifcamkci,10.392,0.14904449999999997,0.0,0.0,44.38545035999999,0.0,0.0,44.534494859999995,0.0,0.0,0.14753166666666667,0.0,0.0,44.44470995999999,0.0,0.0,44.592241626666656,0.0,0.0,0.146788,0.0,0.0,44.44470996,0.0,0.0,44.59149796,0.0,0.0,0
7,4e4a34a6d91ff25d0fdf68733907ad44,foosdfpfkusacimwkcsosbicdxkicaua,30776,0,0,2011-08-01,2016-07-25,2014-07-25,2015-07-27,3045.16,0,0.0,118.24,0.1128599999999999,0.096521,40.606701,f,0.0,19.29,19.29,1,335.78,5,MISSING,25.0,0.12036708333333333,0.10012291666666667,0.070822,40.6474275,24.38845514,16.25897136,40.767794583333334,24.488578056666668,16.32979336,0.11721416666666666,0.09886383333333333,0.07220399999999999,40.728885,24.437330039999996,16.29155496,40.84609916666666,24.53619387333333,16.36375896,0.115854,0.098169,0.072195,40.728885,24.43733004,16.29155496,40.844739,24.535499039999998,16.36374996,0
8,f2b93783adecf0d0d8d60ab547bda3de,MISSING,24838,0,2877,2011-05-27,2016-05-27,2011-05-27,2015-05-31,1088.35,798,0.0,141.79,0.115174,0.098837,40.606701,f,79.36,21.57,21.57,1,117.44,5,ldkssxwpmemidmecebumciepifcamkci,15.001,0.12278558333333334,0.10239583333333331,0.07328333333333333,40.6610035,24.39660114,16.26440236,40.78378908333333,24.498996973333334,16.33768569333333,0.11953516666666668,0.10118583333333331,0.074525,40.728885,24.437330039999996,16.29155496,40.84842016666666,24.538515873333328,16.36607996,0.118175,0.100491,0.074516,40.728885,24.43733004,16.29155496,40.84706,24.53782104,16.36607096,0
9,5789c446141a44a9b405db35682f6eb5,foosdfpfkusacimwkcsosbicdxkicaua,12157,0,0,2013-02-27,2016-02-27,2015-12-16,2015-03-09,1418.81,0,0.0,16.42,0.160302,0.082403,44.31137796,f,0.0,23.4,23.4,2,123.87,3,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392,0.16642283333333333,0.08463633333333333,0.0,44.37063526,0.0,0.0,44.537058093333336,0.08463633333333333,0.0,0.16450716666666665,0.08447233333333333,0.0,44.44470995999999,0.0,0.0,44.60921712666666,0.08447233333333333,0.0,0.16315549999999995,0.0837665,0.0,44.44470996,0.0,0.0,44.60786546,0.0837665,0.0,0
